,subject,trial,trajectory_length_V_deg
0,NeuroSleep_011,Trial_001,43.992632202629466
1,NeuroSleep_011,Trial_002,47.9429611741798
2,NeuroSleep_011,Trial_003,48.71245569572784
3,NeuroSleep_011,Trial_004,44.35201991721988
4,NeuroSleep_011,Trial_005,46.48387924861163
5,NeuroSleep_011,Trial_006,41.58033688390424
6,NeuroSleep_013,Trial_001,51.57126305883048
7,NeuroSleep_013,Trial_002,48.14809269024772
8,NeuroSleep_013,Trial_003,43.17074529157253
9,NeuroSleep_013,Trial_004,49.20191236371829
10,NeuroSleep_013,Trial_005,49.73106030251074
11,NeuroSleep_013,Trial_006,49.21723095291236
12,NeuroSleep_019,Trial_001,48.27096330886616
13,NeuroSleep_019,Trial_002,44.249820742654265
14,NeuroSleep_019,Trial_003,46.78516311314888
15,NeuroSleep_019,Trial_004,39.75203570716985
16,NeuroSleep_019,Trial_005,49.72337458282709
17,NeuroSleep_019,Trial_006,51.88485753000714
18,NeuroSleep_021,Trial_001,48.93643397092819
19,NeuroSleep_021,Trial_002,48.18271140241996
20,NeuroSleep_021,Trial_003,47.94716172385961
21,NeuroSleep_021,Trial_004,55.19282692798879
22,NeuroSleep_021,Trial_005,61.98443317087367
23,NeuroSleep_021,Trial_006,62.35251149907708
24,NeuroSleep_022,Trial_001,40.73897942248732
25,NeuroSleep_022,Trial_002,69.34719456295716
26,NeuroSleep_022,Trial_003,65.20200293511152
27,NeuroSleep_022,Trial_004,178.27221319242472
28,NeuroSleep_022,Trial_005,220.92008987997724
29,NeuroSleep_022,Trial_006,69.2915032986657
30,NeuroSleep_026,Trial_001,57.4905566573143
31,NeuroSleep_026,Trial_002,56.95065951000578
32,NeuroSleep_026,Trial_003,56.19590947404504
33,NeuroSleep_026,Trial_004,8.01422481238842
34,NeuroSleep_026,Trial_005,50.794132474809885
35,NeuroSleep_026,Trial_006,42.72299557400402
